unit_id,ISP,Technology,PACKAGE (download by upload),package_upload_speed,MarketClass, Distance from exchange - DSL only,Region,Country,Geography,Full package name,Download - 24 (ave),Download - 24 min(ave),Download - 24 max (ave),Download - peak (ave),Download - peak min(ave),Download - peak max (ave),Download - 0-6am,Download - 6am-12am,Download - 12-18pm,Download - 18-19pm,Download - 19-20pm,Download - 20-21pm,Download - 21-22pm,Download - 22-23pm,Download - 23pm-00midnight,Upload - 24 (ave),Upload - 24 min(ave),Upload - 24 max (ave),Upload - peak (ave),Upload - peak min(ave),Upload - peak max (ave),DNS Failure 24hr,DNS Failure peak,DNS Rate - 24h,DNS Rate - peak,Jitter-upstream - 24h,Jitter-upstream - peak,Jitter-downstream - 24h,Jitter-downtream - peak,Latency - 24h,Latency - peak,Packet Loss - 24h,Packet Loss - peak,Web loading - 24h,Web loading - peak,Disconnections,YouTubeUHD24hr,YouTubeHD24hr,YouTubeSD24hr,YouTubeFailed24hr,YouTubeStartupDelay24hr,YouTubeUHDPeak,YouTubeHDPeak,YouTubeSDPeak,YouTubeFailedPeak,YouTubeStartupDelayPeak,NetflixUHD24hr,NetflixHD24hr,NetflixSD24hr,NetflixFailed24hr,NetflixStartupDelay24hr,NetflixUHDPeak,NetflixHDPeak,NetflixSDPeak,NetflixFailedPeak,NetflixStartupDelayPeak,iPlayerUHD24hr,iPlayerHD24hr,iPlayerSD24hr,iPlayerFailed24hr,iPlayerStartupDelay24hr,iPlayerUHDPeak,iPlayerHDPeak,iPlayerSDPeak,iPlayerFailedPeak,iPlayerStartupDelayPeak,DL24hr,DLpeak,UL24hr,ULpeak,DNS24hr,DNSpeak,Jitter24h,JitterPeak,Latency24h,LatencyPeak,Web24hr,WebPeak,YouTube24hr,YouTubePeak,Netflix24hr,NetflixPeak,iPlayer24hr,iPlayerPeak,mean_ping_ms_with_downstream_load,median_ping_ms_with_downstream_load,national_weight,rural_weight,isp_weight
1323,Plusnet,FTTC,76,20,B,,London,England,Urban,Plusnet 76 FTTC,66.54139432,65.44476364,66.79262764,65.85092073,65.460175,65.574032,66.7262936,66.56905506,66.52160267,66.63206171,66.650938,66.717156,65.35592914,66.580231,66.81313029,12.17146502,12.08632945,12.29149455,12.15772,12.142772,12.188708,0,0,8.677272295,9.027235294,0.287131313,0.233666667,0.403949495,0.322666667,4.485104478,4.517583333,0.000113,0,101.71767,817.7752857,0.272727273,0.253012048,0.746987952,0,0,786.9462169,0.222222222,0.777777778,0,0,767.529,1,0,0,0,661.2607742,1,0,0,0,660.5708,0,1,0,0,298.330033,0,1,0,0,306.5571111,93,11,94,10,3214,208,99,3,205,12,207,14,83,9,93,10,91,9,53.40816092,54.435,0.1587,0.81498,1.087209302
1381,Zen,FTTC,76,20,B,,South East,England,Rural,Other-FTTC-and-ADSL,68.86618916,51.1313096,74.2105568,66.13943486,62.272018,70.719837,74.01844235,71.825208,70.91774457,54.2999,70.9021952,67.059656,64.91247333,66.16698286,68.84006756,15.20640818,12.7333736,15.796392,15.25942171,15.006208,15.478097,0,0,16.09586146,15.97951961,0.820070707,0.4655,0.673909091,1.438125,9.858,9.7865,0.0005,0.001950132,167.1928421,342.7536,0.333333333,0.311111111,0.688888889,0,0,858.4097889,0.25,0.75,0,0,819.57825,0.964705882,0.035294118,0,0,570.2688256,1,0,0,0,705.4036429,0,1,0,0,553.7746818,0,1,0,0,539.1043077,90,14,89,14,3005,208,99,8,111,8,192,15,90,16,85,14,86,12,30.65159551,30.991,,,
1384,Plusnet,FTTC,38,10,B,,Yorkshire & Humberside,England,Urban,Plusnet 38 FTTC,36.93478317,35.85419045,37.15701342,36.82262114,36.56980852,36.95014142,36.969864,37.10010973,36.91068435,36.79067886,36.61434124,36.769016,36.88019704,36.99116276,36.90518813,9.264474398,9.194597419,9.283653161,9.259677964,9.247248774,9.268318452,0,0,13.36410214,13.44889205,0.281014577,0.276392857,0.220294461,0.246607143,9.192548989,9.198207547,3.32E-05,3.92E-05,149.954936,150.6169464,0.032258065,0.794721408,0.205278592,0,0,1204.543891,0.8,0.2,0,0,1133.738436,1,0,0,0,895.3696395,1,0,0,0,918.0525893,0,1,0,0,406.0044648,0,1,0,0,411.4494,343,56,343,55,11168,896,349,28,655,53,702,56,341,55,344,56,284,45,37.60204118,37.0405,1.4785,0.99656,1.883333333
1407,Vodafone,FTTC,38,10,B,,Scotland,Scotland,Urban,Vodafone 38 FTTC,33.11644657,28.82147123,34.401792,31.47991971,30.68425432,32.27303074,33.56987683,33.407666,33.17549541,33.30813333,33.751224,32.22390462,30.8351328,31.31037046,31.92801818,5.845848105,5.645333935,5.895519226,5.712462933,5.6825556,5.8155652,0.002722098,0.033175355,33.50366877,38.03185644,0.347806818,0.397,0.307132576,0.750545455,23.83051383,24.2727037,0.000431,0.001913678,678.0958839,2541.508828,0.774193548,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234,28,233,30,4041,211,268,11,701,54,527,29,0,0,0,0,0,0,,,,,
1428,BT,FTTC,38,10,B,,Wales,Wales,Urban,BT 38 FTTC,23.19265895,22.85005032,23.24536206,23.17016616,23.14329135,23.19862503,23.2210929,23.09932367,23.17495856,23.18615123,23.18293187,23.15784929,23.1828936,23.19123329,23.21267639,6.247647405,6.185882581,6.285904774,6.238326689,6.231035613,6.243416774,0,0,29.49002011,29.60531314,0.295917582,0.284903226,0.288351648,0.285741935,25.27369083,25.29304839,2.15E-05,9.44E-06,315.5492298,315.1621148,0.096774194,0.769647696,0.230352304,0,0,1183.511545,0.770491803,0.229508197,0,0,1183.776639,0.975675676,0.024324324,0,0,1570.698668,0.967741935,0.032258065,0,0,1631.8525,0,1,0,0,788.5975189,0,1,0,0,784.7188065,369,61,369,61,11823,992,370,31,745,62,732,61,369,61,370,62,370,62,73.232875,71.6975,0.4991,0.99656,3.911764706
1465,BT,FTTC,52,10,B,,West Midlands,England,Rural,BT 52 FTTC,47.05709358,42.05998039,47.79764671,46.00143657,44.90178453,45.25266053,47.36154631,47.04611166,46.65175733,47.51800067,45.06364064,44.74227904,47.313059,45.93461893,47.54035665,9.093758432,8.772054452,9.146451097,9.074022638,9.061990069,9.097490207,0.000585,0,12.89133042,12.67236397,0.346905229,0.347173913,0.352761438,0.303347826,8.306168091,8.454118644,0.009401952,0.00401634,133.3877549,550.0554792,22.87096774,0.755555556,0.244444444,0,0,1169.858842,0.833333333,0.166666667,0,0,1200.94813,0.99339934,0.00660066,0,0,858.9087558,0.979591837,0.020408163,0,0,857.9403265,0,1,0,0,378.3463161,0,1,0,0,405.0956538,310,49,302,47,10262,832,312,23,716,59,620,48,315,54,303,49,310,52,76.09793667,77.4585,3.8943,1.52049,0.567857143
1479,Sky,FTTC,76,20,B,,East,England,Rural,Sky 76 FTTC,71.96587819,58.63215303,74.67868155,62.12729029,58.50257408,64.14877504,74.25698838,73.7935928,74.2616772,72.13470259,65.77067029,58.75130189,66.1362765,73.85438816,74.61112512,13.8682439,13.30280181,13.94101058,13.89509682,13.88539857,13.90762371,0,0,13.60760618,14.24622547,0.400992308,0.389882353,0.4053,1.050411765,9.331793255,9.848551724,0.0002,0.00039,149.8830215,274.8239697,0.096774194,0.092050209,0.037656904,0.870292887,0,993.0044693,0.088235294,0,0.911764706,0,962.1503333,1,0,0,0,518.4309417,1,0,0,0,660.1961463,0,1,0,0,647.416728,0,1,0,0,672.1721111,229,35,242,39,8686,591,264,17,694,58,522,33,239,34,240,41,239,36,29.08285526,32.728,0.2982,1.52049,0.990116129
1491,BT,FTTC,76,20,B,,East Midlands,England,Urban,BT 76 FTTC,67.601886,65.79403639,68.42412723,67.06302672,66.26029914,67.12095229,68.00608651,67.87040409,67.42353617,67.67910112,67.17112154,66.94047096,67.16742607,67.39620086,67.59227143,18.52699934,18.44601419,18.56871561,18.49886768,18.48272714,18.51994229,9.98E-05,0,13.69517471,13.65672304,0.209176101,0.201074074,0.284251572,0.299481481,9.931585185,9.789309524,0.000615,1.36E-05,133.7047403,135.5076923,0.633333333,0.74,0.26,0,0,1090.383447,0.708333333,0.291666667,0,0,1065.952146,1,0,0,0,605.9442045,1,0,0,0,588.9881633,0,1,0,0,388.9937294,0,1,0,0,449.3152708,310,50,310,50,10016,832,324,27,550,42,628,52,300,48,308,49,302,48,56.82646732,55.142,1.3389,0.81498,0.81
1571,BT,FTTC,76,20,B,,Northern Ireland,Northern Ireland,Urban,BT 76 FTTC,67.15527686,64.41129755,67.77355458,67.12103148,66.79251716,67.44954581,67.4264021,66.27771884,67.14096029,66.76535923,67.55015794,67.26217987,66.9798831,67.26023323,67.270042,18.39460214,18.08164465,18.48122374,18.41118994,18.37810658,18.44427329,0,0,39.07371528,41.29098113,0.431696629,0.387548387,0.22897191,0.26616129,19.9562489,20.06307018,0.000277,0.000234,301.3341991,298.0424262,1.225806452,0.7696793,0.2303207,0,0,1164.883557,0.770491803,0.229508197,0,0,1163.557689,1,0,0,0,718.2728348,1,0,0,0,698.7812419,0,1,0,0,1030.258659,0,1,0,0,1018.00315,350,62,353,62,11277,1027,362,31,695,57,717,61,343,61,351,62,349,60,52.78696542,57.958,1.1649,0.81498,0.972
1615,BT,FTTC,38,10,B,,Northern Ireland,Northern Ireland,Rural,BT 38 FTTC,31.55420884,25.514466,33.518718,30.11498909,28.72577067,31.27521067,33.15996369,33.38904933,26.28783657,31.108384,31.65350933,28.8446048,31.17364267,31.41409257,33.26441371,6.700890667,6.406396,6.801533,6.5896832,6.620914667,6.698142667,0,0,26.13392713,24.46200633,2.082866667,0.529666667,0.849566667,1.3585,20.4821875,19.6663,0.000416,0.000216,302.971032,333.3006667,0.285714286,1,0,0,0,1249.655143,1,0,0,0,1257.955375,1,0,0,0,1104.940877,1,0,0,0,1031.3776,0,1,0,0,465.8969524,0,1,0,0,480.4045455,67,11,66,10,2128,160,60,6,114,10,127,9,63,8,65,10,63,11,93.86410606,96.234,0.2894,0.462,0.287878788
