ISP,Technology,package_download,Region,average_download_speed,average_upload_speed,discrepancy_download,significant
BT,FTTC,38,East,29.05133894,7.985901665,23.549108052631578,TRUE
BT,FTTC,38,East,16.292653,2.33168986,57.12459736842105,TRUE
BT,FTTC,38,East,29.49387568,4.52176419,22.384537684210528,TRUE
BT,FTTC,38,East,23.84561159,3.541282974,37.24839055263158,TRUE
BT,FTTC,38,East,13.99148753,3.729773846,63.18029597368421,TRUE
BT,FTTC,38,East,12.84454449,5.540631844,66.19856713157894,TRUE
BT,FTTC,38,East,31.31876488,7.818768571,17.582197684210527,TRUE
BT,FTTC,38,East,25.22065846,6.334315256,33.62984615789474,TRUE
BT,FTTC,38,East,32.52907571,6.048901871,14.397169184210522,TRUE
BT,FTTC,38,East,14.64055301,3.946839437,61.47222892105264,TRUE
BT,FTTC,38,East,4.856100035,0.693150376,87.22078938157895,TRUE
BT,FTTC,38,East,36.789969,9.275932,3.1842921052631596,FALSE
BT,FTTC,38,East,26.2074998,5.114743616,31.032895263157894,TRUE
BT,FTTC,38,East,4.841486585,0.944277594,87.25924582894737,TRUE
BT,FTTC,38,East,25.69409478,3.8691542,32.38396110526316,TRUE
BT,FTTC,38,East Midlands,19.42162464,5.402550658,48.89046147368421,TRUE
BT,FTTC,38,East Midlands,25.19728834,6.217110598,33.691346473684206,TRUE
BT,FTTC,38,East Midlands,26.96213918,5.491765593,29.047002157894735,TRUE
BT,FTTC,38,East Midlands,7.873903764,0.8135616,79.27920062105264,TRUE
BT,FTTC,38,East Midlands,23.73122495,4.978731639,37.54940802631578,TRUE
BT,FTTC,38,East Midlands,27.58577588,6.932076383,27.40585294736842,TRUE
BT,FTTC,38,East Midlands,37.04159198,9.279994295,2.5221263684210533,FALSE
BT,FTTC,38,East Midlands,27.65513495,6.417883967,27.223329078947366,TRUE
BT,FTTC,38,East Midlands,35.9574063,9.220974532,5.375246578947363,FALSE
BT,FTTC,38,London,32.00028086,5.044459042,15.788734578947377,TRUE
BT,FTTC,38,London,33.26733797,4.619047974,12.454373763157896,TRUE
BT,FTTC,38,North West,30.09795018,9.280667605,20.794867947368417,TRUE
BT,FTTC,38,North West,3.204927185,0.94603011,91.56598109210525,TRUE
BT,FTTC,38,North West,27.93382719,3.100808588,26.48992844736842,TRUE
BT,FTTC,38,North West,28.34099121,6.803826748,25.418444184210532,TRUE
BT,FTTC,38,North West,22.82856168,6.382811316,39.92483768421053,TRUE
BT,FTTC,38,North West,10.18601907,4.055757004,73.19468665789474,TRUE
BT,FTTC,38,North West,36.88205294,6.922581264,2.941965947368418,FALSE
BT,FTTC,38,North West,22.37353365,5.657181897,41.12227986842106,TRUE
BT,FTTC,38,North West,35.13342911,6.841491149,7.543607605263154,FALSE
BT,FTTC,38,North West,22.66497707,5.716672294,40.355323500000004,TRUE
BT,FTTC,38,North West,15.35895646,1.060779726,59.58169352631578,TRUE
BT,FTTC,38,North West,20.0464029,1.710629883,47.24630815789473,TRUE
BT,FTTC,38,North West,14.54397767,0.974081316,61.72637455263158,TRUE
BT,FTTC,38,Northern Ireland,31.55420884,6.700890667,16.96260831578947,TRUE
BT,FTTC,38,Northern Ireland,35.48917431,6.505536343,6.607436026315783,FALSE
BT,FTTC,38,Northern Ireland,5.966838791,0.915480627,84.29779265526317,TRUE
BT,FTTC,38,Northern Ireland,14.79564593,2.014419491,61.06408965789474,TRUE
BT,FTTC,38,Northern Ireland,19.54658039,0.835849688,48.56163055263158,TRUE
BT,FTTC,38,Scotland,19.26406263,6.266715792,49.30509834210526,TRUE
BT,FTTC,38,Scotland,30.21776654,9.119763042,20.479561736842104,TRUE
BT,FTTC,38,Scotland,34.8959986,6.300007689,8.168424736842109,FALSE
BT,FTTC,38,Scotland,27.51102239,4.916653883,27.602572657894736,TRUE
BT,FTTC,38,Scotland,27.03912508,6.892180506,28.84440768421052,TRUE
BT,FTTC,38,Scotland,16.40984168,4.639168245,56.816206105263156,TRUE
BT,FTTC,38,Scotland,11.20824892,0.903136362,70.50460810526316,TRUE
BT,FTTC,38,Scotland,27.25821247,6.160279778,28.267861921052635,TRUE
BT,FTTC,38,Scotland,31.77969023,6.635165106,16.369236236842106,TRUE
BT,FTTC,38,Scotland,24.10134084,4.946827622,36.575418842105265,TRUE
BT,FTTC,38,Scotland,31.7254678,6.678594781,16.51192684210526,TRUE
BT,FTTC,38,Scotland,34.92448873,6.721861904,8.093450710526314,FALSE
BT,FTTC,38,Scotland,24.23761731,2.928180994,36.21679655263158,TRUE
BT,FTTC,38,Scotland,35.22164977,7.651124376,7.311447973684213,FALSE
BT,FTTC,38,Scotland,27.89217524,6.542020167,26.599538842105265,TRUE
BT,FTTC,38,Scotland,28.18582698,3.777365409,25.826771105263152,TRUE
BT,FTTC,38,Scotland,21.11277878,2.790930335,44.44005584210527,TRUE
BT,FTTC,38,Scotland,29.07822755,5.183005374,23.478348552631576,TRUE
BT,FTTC,38,Scotland,26.73678598,4.868716738,29.640036894736845,TRUE
BT,FTTC,38,Scotland,17.52958628,1.162789634,53.86950978947368,TRUE
BT,FTTC,38,Scotland,29.69225065,5.274010286,21.862498289473688,TRUE
BT,FTTC,38,Scotland,37.02886707,7.481344,2.555612973684219,FALSE
BT,FTTC,38,Scotland,30.60518943,7.861352939,19.460027815789473,TRUE
BT,FTTC,38,Scotland,37.0565472,9.277759638,2.482770526315797,FALSE
BT,FTTC,38,Scotland,32.29818456,4.255744653,15.004777473684202,TRUE
BT,FTTC,38,Scotland,15.28247861,0.957941414,59.782951026315786,TRUE
BT,FTTC,38,South East,33.86823299,5.974786455,10.87307107894736,TRUE
BT,FTTC,38,South East,27.86891948,6.509151869,26.66073821052632,TRUE
BT,FTTC,38,South East,37.04517867,8.103927079,2.5126877105263197,FALSE
BT,FTTC,38,South East,29.29572032,3.973840094,22.905999157894737,TRUE
BT,FTTC,38,South East,16.37818295,2.43254985,56.89951855263158,TRUE
BT,FTTC,38,South East,34.08357703,4.743440408,10.306376236842103,TRUE
BT,FTTC,38,South East,21.36497913,2.491992181,43.77637071052632,TRUE
BT,FTTC,38,South East,16.62744311,5.49894148,56.24357076315789,TRUE
BT,FTTC,38,South East,29.05731104,4.320352231,23.533392000000006,TRUE
BT,FTTC,38,South East,35.0799987,9.216591497,7.684213947368428,FALSE
BT,FTTC,38,South East,35.27247552,6.239848707,7.177695999999998,FALSE
BT,FTTC,38,South East,36.47286066,5.096665272,4.0187877368421,FALSE
BT,FTTC,38,South East,17.55237625,9.254646445,53.80953618421053,TRUE
BT,FTTC,38,South East,27.94446215,9.518868439,26.461941710526315,TRUE
BT,FTTC,38,South East,22.00588964,1.010963639,42.089764105263164,TRUE
BT,FTTC,38,South East,30.71197265,5.499760076,19.179019342105263,TRUE
BT,FTTC,38,South West,24.25849751,3.485375166,36.16184865789474,TRUE
BT,FTTC,38,South West,29.84539705,5.467915432,21.45948144736842,TRUE
BT,FTTC,38,South West,35.78071013,7.252433781,5.8402364999999925,FALSE
BT,FTTC,38,South West,19.45876112,5.507542296,48.79273389473685,TRUE
BT,FTTC,38,South West,34.88693948,5.502358839,8.192264526315784,FALSE
BT,FTTC,38,South West,29.61702158,4.732422,22.06046952631579,TRUE
BT,FTTC,38,South West,8.203294186,1.093686713,78.41238372105262,TRUE
BT,FTTC,38,South West,25.53173053,3.343658151,32.81123544736842,TRUE
BT,FTTC,38,South West,18.34247837,2.041374441,51.730320078947365,TRUE
BT,FTTC,38,South West,30.40814143,5.51573035,19.978575184210527,TRUE
BT,FTTC,38,South West,34.75517866,7.454951941,8.539003526315794,FALSE
BT,FTTC,38,Wales,23.19265895,6.247647405,38.96668697368422,TRUE
BT,FTTC,38,Wales,28.816508,7.080449277,24.16708421052632,TRUE
BT,FTTC,38,Wales,25.80981248,6.425410547,32.079440842105264,TRUE
BT,FTTC,38,Wales,36.90828224,9.246177485,2.872941473684215,FALSE
BT,FTTC,38,Wales,25.72717493,5.042887888,32.29690807894737,TRUE
BT,FTTC,38,Wales,28.73910014,7.352476025,24.370789105263153,TRUE
BT,FTTC,38,Wales,27.5138462,4.785277729,27.59514157894737,TRUE
BT,FTTC,38,Wales,20.91203615,4.601279329,44.96832592105264,TRUE
BT,FTTC,38,West Midlands,30.96215799,7.041379425,18.520636868421047,TRUE
BT,FTTC,38,West Midlands,35.55723694,9.219366196,6.428323842105256,FALSE
BT,FTTC,38,West Midlands,26.66412522,2.875844941,29.831249421052636,TRUE
BT,FTTC,38,Yorkshire & Humberside,20.74445338,4.085869318,45.40933321052631,TRUE
BT,FTTC,38,Yorkshire & Humberside,13.80540511,3.395420355,63.66998655263158,TRUE
BT,FTTC,38,Yorkshire & Humberside,26.08083804,5.8413702,31.366215684210523,TRUE
BT,FTTC,38,Yorkshire & Humberside,32.35356567,6.639060889,14.85903771052631,TRUE
BT,FTTC,38,Yorkshire & Humberside,36.96807797,6.637195744,2.715584289473676,FALSE
BT,FTTC,38,Yorkshire & Humberside,30.89449441,5.104171296,18.69869892105263,TRUE
BT,FTTC,38,Yorkshire & Humberside,34.20376218,6.223735656,9.990099526315795,FALSE
BT,FTTC,38,Yorkshire & Humberside,31.96568439,4.644906643,15.879777921052632,TRUE
BT,FTTC,52,East,42.84593939,8.644584535,17.603962711538465,TRUE
BT,FTTC,52,East,50.5974537,9.187375523,2.6972044230769177,FALSE
BT,FTTC,52,East,47.34127068,9.262670764,8.959094846153844,FALSE
BT,FTTC,52,East,36.34972422,6.841018752,30.096684192307695,TRUE
BT,FTTC,52,East Midlands,35.01204111,8.029047743,32.66915171153846,TRUE
BT,FTTC,52,East Midlands,28.26074354,3.270213314,45.65241626923077,TRUE
BT,FTTC,52,East Midlands,44.23829455,9.177934729,14.926356634615386,TRUE
BT,FTTC,52,London,43.569540430000004,5.918504528,16.212422249999996,TRUE
BT,FTTC,52,London,40.25719135,8.90752482,22.58232432692308,TRUE
BT,FTTC,52,North East,46.05964629,9.249226173,11.423757134615379,TRUE
BT,FTTC,52,North East,47.78571327,9.222674993,8.104397557692304,FALSE
BT,FTTC,52,North East,42.55705204,9.256770595,18.159515307692303,TRUE
BT,FTTC,52,North West,49.72870771,13.88399225,4.367869788461535,FALSE
BT,FTTC,52,North West,50.20345699,9.249630183,3.454890403846155,FALSE
BT,FTTC,52,North West,41.12550405,6.650221907,20.912492211538456,TRUE
BT,FTTC,52,North West,1.629031833,0.499349773,96.867246475,TRUE
BT,FTTC,52,North West,40.25743115,6.459421806,22.58186317307692,TRUE
BT,FTTC,52,North West,38.17519049,6.016284024,26.58617213461539,TRUE
BT,FTTC,52,North West,50.50922869,9.250851356,2.8668679038461526,FALSE
BT,FTTC,52,Northern Ireland,40.84469651,7.372414465,21.45250671153846,TRUE
BT,FTTC,52,Northern Ireland,46.30807004,6.742740392,10.946019153846159,TRUE
BT,FTTC,52,Northern Ireland,50.62062522,9.238893386,2.6526438076923062,FALSE
BT,FTTC,52,Northern Ireland,36.55024602,8.718856076,29.71106534615384,TRUE
BT,FTTC,52,Northern Ireland,42.0313584,5.902392379,19.17046461538461,TRUE
BT,FTTC,52,Scotland,50.49948523,9.254068,2.8856053269230815,FALSE
BT,FTTC,52,Scotland,51.07259911,9.188210072,1.7834632500000023,FALSE
BT,FTTC,52,Scotland,16.67504433,0.53209122,67.93260705769231,TRUE
BT,FTTC,52,Scotland,45.76378966,9.182259189,11.992712192307692,TRUE
BT,FTTC,52,Scotland,37.19603539,6.229851864,28.469162711538466,TRUE
BT,FTTC,52,Scotland,48.18431414,9.258664563,7.337857423076927,FALSE
BT,FTTC,52,Scotland,50.73704137,9.281844136,2.428766596153846,FALSE
BT,FTTC,52,Scotland,41.77035722,9.082482141,19.672389961538457,TRUE
BT,FTTC,52,Scotland,50.55436544,9.246464117,2.7800664615384654,FALSE
BT,FTTC,52,Scotland,50.31860377,9.270931442,3.2334542884615334,FALSE
BT,FTTC,52,Scotland,12.96690618,1.003115662,75.06364196153845,TRUE
BT,FTTC,52,South East,44.42462345,9.172087086,14.56803182692308,TRUE
BT,FTTC,52,South East,44.63719262,9.084737039,14.15924496153846,TRUE
BT,FTTC,52,South East,40.9350207,8.528366427,21.278806346153843,TRUE
BT,FTTC,52,South East,50.62151072,9.257806412,2.6509409230769165,FALSE
BT,FTTC,52,South East,40.57653353,8.313762691,21.96820475,TRUE
BT,FTTC,52,South East,50.74230663,9.261621291,2.418641096153843,FALSE
BT,FTTC,52,South East,40.79935392,9.273106469,21.539703999999997,TRUE
BT,FTTC,52,South East,39.47897157,6.936911325,24.078900826923082,TRUE
BT,FTTC,52,South East,47.94246673,9.007353965,7.802948596153847,FALSE
BT,FTTC,52,South East,45.56064021,9.249345905,12.383384211538456,TRUE
BT,FTTC,52,South East,50.9023814,9.261859333,2.1108049999999943,FALSE
BT,FTTC,52,South East,40.6693168,6.815391863,21.78977538461539,TRUE
BT,FTTC,52,South East,46.49935538,9.869273283,10.578162730769236,TRUE
BT,FTTC,52,South West,37.78629661,5.033320608,27.334044980769228,TRUE
BT,FTTC,52,South West,47.81830371,9.24727539,8.04172363461538,FALSE
BT,FTTC,52,South West,40.8773794,6.821915721,21.389654999999998,TRUE
BT,FTTC,52,South West,43.41999644,9.271737577,16.500006846153852,TRUE
BT,FTTC,52,Wales,37.74853924,6.494215036,27.406655307692308,TRUE
BT,FTTC,52,Wales,37.31315946,9.202704584,28.243924115384612,TRUE
BT,FTTC,52,Wales,50.73184524,9.265817149,2.4387591538461573,FALSE
BT,FTTC,52,Wales,45.32234765,7.398525972,12.84163913461539,TRUE
BT,FTTC,52,Wales,51.13318037,9.281226579,1.6669608269230807,FALSE
BT,FTTC,52,Wales,5.859083838,0.735805918,88.73253108076923,TRUE
BT,FTTC,52,West Midlands,47.05709358,9.093758432,9.505589269230768,FALSE
BT,FTTC,52,West Midlands,39.22940994,7.795843965,24.558827038461544,TRUE
BT,FTTC,52,West Midlands,45.50936544,9.217459056,12.481989538461532,TRUE
BT,FTTC,52,West Midlands,40.77767516,7.080311906,21.581393923076924,TRUE
BT,FTTC,52,West Midlands,50.86574059,9.268892593,2.1812680961538433,FALSE
BT,FTTC,52,West Midlands,48.48519628,9.277383622,6.75923792307693,FALSE
BT,FTTC,52,West Midlands,49.18870567,9.234441322,5.406335250000005,FALSE
BT,FTTC,52,West Midlands,36.85745555,9.223679972,29.120277788461546,TRUE
BT,FTTC,52,West Midlands,50.60525975,9.236490542,2.682192788461535,FALSE
BT,FTTC,52,Yorkshire & Humberside,46.51161562,7.519581397,10.554585346153846,TRUE
BT,FTTC,52,Yorkshire & Humberside,51.00263157,9.26193661,1.9180162115384647,FALSE
BT,FTTC,76,East,72.74379354,18.56911065,4.284482184210528,FALSE
BT,FTTC,76,East,68.96612068,18.53647803,9.255104368421048,FALSE
BT,FTTC,76,East,70.96301567,18.49244916,6.627610960526311,FALSE
BT,FTTC,76,East,48.86039933,15.34268121,35.71000088157895,TRUE
BT,FTTC,76,East,59.28942923,18.54374281,21.98759311842105,TRUE
BT,FTTC,76,East,54.39081373,10.11580822,28.433139828947375,TRUE
BT,FTTC,76,East,70.2795909,18.17468253,7.526854078947364,FALSE
BT,FTTC,76,East,69.5520785,18.545724,8.484107236842114,FALSE
BT,FTTC,76,East,67.98098721,18.49196296,10.551332618421059,TRUE
BT,FTTC,76,East,53.92031206,18.34014334,29.05222097368421,TRUE
BT,FTTC,76,East,70.55054416,18.56651754,7.170336631578945,FALSE
BT,FTTC,76,East,41.99917687,16.32965246,44.73792517105263,TRUE
BT,FTTC,76,East,33.14592096,12.5680515,56.386946105263156,TRUE
BT,FTTC,76,East,37.61518387,8.968750842,50.50633701315789,TRUE
BT,FTTC,76,East,60.04216872,18.55875327,20.99714642105263,TRUE
BT,FTTC,76,East,62.29068771,18.5494694,18.03856880263158,TRUE
BT,FTTC,76,East,58.22814816,18.53465839,23.384015578947366,TRUE
BT,FTTC,76,East,69.24587548,18.54214239,8.887005947368428,FALSE
BT,FTTC,76,East,73.60173297,16.95309563,3.1556145131578943,FALSE
BT,FTTC,76,East,64.78134577,18.40552203,14.76138714473684,TRUE
BT,FTTC,76,East,65.82305153,18.55566948,13.39072167105263,TRUE
