unit_id,isp,technology,package_download_speed,package_upload_speed,full_package_name,market_class,country,region,geography,national_weight,rural_weight,isp_weight,distance_from_exchange_dsl_only,download_24h_avg,download_24h_min_avg,download_24h_max_avg,download_peak_avg,download_peak_min_avg,download_peak_max_avg,download_0_6am,download_6am_12am,download_12_18pm,download_18_19pm,download_19_20pm,download_20_21pm,download_21_22pm,download_22_23pm,download_23pm_00midnight,upload_24h_avg,upload_24h_min_avg,upload_24h_max_avg,upload_peak_avg,upload_peak_min_avg,upload_peak_max_avg,dns_failure_24h,dns_failure_peak,dns_lookup_24h,dns_lookup_peak,jitter_upstream_24h,jitter_upstream_peak,jitter_downstream_24h,jitter_downtream_peak,latency_24h,latency_peak,packet_loss_24h,packet_loss_peak,web_loading_24h,web_loading_peak,disconnections,youtube_uhd_24h,youtube_hd_24h,youtube_sd_24h,youtube_failed_24h,youtube_startup_delay_24h,youtube_uhd_peak,youtube_hd_peak,youtube_sd_peak,youtube_failed_peak,youtube_startup_delay_peak,netflix_uhd_24h,netflix_hd_24h,netflix_sd_24h,netflix_failed_24h,netflix_startup_delay_24h,netflix_uhd_peak,netflix_hd_peak,netflix_sd_peak,netflix_failed_peak,netflix_startup_delay_peak,iplayer_uhd_24h,iplayer_hd_24h,iplayer_sd_24h,iplayer_failed_24h,iplayer_startup_delay_24h,iplayer_uhd_peak,iplayer_hd_peak,iplayer_sd_peak,iplayer_failed_peak,iplayer_startup_delay_peak,mean_ping_ms_with_downstream_load,median_ping_ms_with_downstream_load,package_download
1323,Plusnet,FTTC,76,20,Plusnet 76 FTTC,B,England,London,Urban,0.1587,0.81498,1.087209302,NA,66.54139432,65.44476364,66.79262764,65.85092073,65.460175,65.574032,66.7262936,66.56905506,66.52160267,66.63206171,66.650938,66.717156,65.35592914,66.580231,66.81313029,12.17146502,12.08632945,12.29149455,12.15772,12.142772,12.188708,0,0,8.677272295,9.027235294,0.287131313,0.233666667,0.403949495,0.322666667,4.485104478,4.517583333,1.13e-4,0,101.71767,817.7752857,0.272727273,0.253012048,0.746987952,0,0,786.9462169,0.222222222,0.777777778,0,0,767.529,1,0,0,0,661.2607742,1,0,0,0,660.5708,0,1,0,0,298.330033,0,1,0,0,306.5571111,53.40816092,54.435,76
1384,Plusnet,FTTC,38,10,Plusnet 38 FTTC,B,England,Yorkshire & Humberside,Urban,1.4785,0.99656,1.883333333,NA,36.93478317,35.85419045,37.15701342,36.82262114,36.56980852,36.95014142,36.969864,37.10010973,36.91068435,36.79067886,36.61434124,36.769016,36.88019704,36.99116276,36.90518813,9.264474398,9.194597419,9.283653161,9.259677964,9.247248774,9.268318452,0,0,13.36410214,13.44889205,0.281014577,0.276392857,0.220294461,0.246607143,9.192548989,9.198207547,3.32e-5,3.92e-5,149.954936,150.6169464,0.032258065,0.794721408,0.205278592,0,0,1204.543891,0.8,0.2,0,0,1133.738436,1,0,0,0,895.3696395,1,0,0,0,918.0525893,0,1,0,0,406.0044648,0,1,0,0,411.4494,37.60204118,37.0405,38
1407,Vodafone,FTTC,38,10,Vodafone 38 FTTC,B,Scotland,Scotland,Urban,NA,NA,NA,NA,33.11644657,28.82147123,34.401792,31.47991971,30.68425432,32.27303074,33.56987683,33.407666,33.17549541,33.30813333,33.751224,32.22390462,30.8351328,31.31037046,31.92801818,5.845848105,5.645333935,5.895519226,5.712462933,5.6825556,5.8155652,0.002722098,0.033175355,33.50366877,38.03185644,0.347806818,0.397,0.307132576,0.750545455,23.83051383,24.2727037,4.31e-4,0.001913678,678.0958839,2541.508828,0.774193548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38
1428,BT,FTTC,38,10,BT 38 FTTC,B,Wales,Wales,Urban,0.4991,0.99656,3.911764706,NA,23.19265895,22.85005032,23.24536206,23.17016616,23.14329135,23.19862503,23.2210929,23.09932367,23.17495856,23.18615123,23.18293187,23.15784929,23.1828936,23.19123329,23.21267639,6.247647405,6.185882581,6.285904774,6.238326689,6.231035613,6.243416774,0,0,29.49002011,29.60531314,0.295917582,0.284903226,0.288351648,0.285741935,25.27369083,25.29304839,2.15e-5,9.44e-6,315.5492298,315.1621148,0.096774194,0.769647696,0.230352304,0,0,1183.511545,0.770491803,0.229508197,0,0,1183.776639,0.975675676,0.024324324,0,0,1570.698668,0.967741935,0.032258065,0,0,1631.8525,0,1,0,0,788.5975189,0,1,0,0,784.7188065,73.232875,71.6975,38
1479,Sky,FTTC,76,20,Sky 76 FTTC,B,England,East,Rural,0.2982,1.52049,0.990116129,NA,71.96587819,58.63215303,74.67868155,62.12729029,58.50257408,64.14877504,74.25698838,73.7935928,74.2616772,72.13470259,65.77067029,58.75130189,66.1362765,73.85438816,74.61112512,13.8682439,13.30280181,13.94101058,13.89509682,13.88539857,13.90762371,0,0,13.60760618,14.24622547,0.400992308,0.389882353,0.4053,1.050411765,9.331793255,9.848551724,2e-4,3.9e-4,149.8830215,274.8239697,0.096774194,0.092050209,0.037656904,0.870292887,0,993.0044693,0.088235294,0,0.911764706,0,962.15033330000006,1,0,0,0,518.4309417,1,0,0,0,660.1961463,0,1,0,0,647.416728,0,1,0,0,672.1721111,29.08285526,32.728,76
1491,BT,FTTC,76,20,BT 76 FTTC,B,England,East Midlands,Urban,1.3389,0.81498,0.81,NA,67.601886,65.79403639,68.42412723,67.06302672,66.26029914,67.12095229,68.00608651,67.87040409,67.42353617,67.67910112,67.17112154,66.94047096,67.16742607,67.39620086,67.59227143,18.52699934,18.44601419,18.56871561,18.49886768,18.48272714,18.51994229,9.98e-5,0,13.69517471,13.65672304,0.209176101,0.201074074,0.284251572,0.299481481,9.931585185,9.789309524,6.15e-4,1.36e-5,133.7047403,135.5076923,0.633333333,0.74,0.26,0,0,1090.383447,0.708333333,0.291666667,0,0,1065.952146,1,0,0,0,605.9442045,1,0,0,0,588.9881633,0,1,0,0,388.9937294,0,1,0,0,449.3152708,56.82646732,55.142,76
1571,BT,FTTC,76,20,BT 76 FTTC,B,Northern Ireland,Northern Ireland,Urban,1.1649,0.81498,0.972,NA,67.15527686,64.41129755,67.77355458,67.12103148,66.79251716,67.44954581,67.4264021,66.27771884,67.14096029,66.76535923,67.55015794,67.26217987,66.9798831,67.26023323,67.270042,18.39460214,18.08164465,18.48122374,18.41118994,18.37810658,18.44427329,0,0,39.07371528,41.29098113,0.431696629,0.387548387,0.22897191,0.26616129,19.9562489,20.06307018,2.77e-4,2.34e-4,301.3341991,298.0424262,1.225806452,0.7696793,0.2303207,0,0,1164.883557,0.770491803,0.229508197,0,0,1163.557689,1,0,0,0,718.2728348,1,0,0,0,698.7812419,0,1,0,0,1030.258659,0,1,0,0,1018.00315,52.78696542,57.958,76
1615,BT,FTTC,38,10,BT 38 FTTC,B,Northern Ireland,Northern Ireland,Rural,0.2894,0.462,0.287878788,NA,31.55420884,25.514466,33.518718,30.11498909,28.72577067,31.27521067,33.15996369,33.38904933,26.28783657,31.108384,31.65350933,28.8446048,31.17364267,31.41409257,33.26441371,6.700890667,6.406396,6.801533,6.5896832,6.620914667,6.698142667,0,0,26.13392713,24.46200633,2.082866667,0.529666667,0.849566667,1.3585,20.4821875,19.6663,4.16e-4,2.16e-4,302.971032,333.3006667,0.285714286,1,0,0,0,1249.655143,1,0,0,0,1257.955375,1,0,0,0,1104.940877,1,0,0,0,1031.3776,0,1,0,0,465.8969524,0,1,0,0,480.4045455,93.86410606,96.234,38
1736,BT,FTTC,76,20,BT 76 FTTC,B,England,North East,Urban,1.6319,0.81498,0.81,NA,70.30979683,60.78977771,72.82682886,68.9848282,67.37940154,70.53277385,72.65285631,69.23165262,69.71147474,66.10969,66.764578,67.07221558,70.71528724,71.83958695,72.05897809,16.91334381,16.39711371,17.04940857,16.93387836,16.90682923,16.94785877,0,0,17.95848056,18.4836759,0.323514815,0.29052381,0.636933333,0.751380952,13.55410822,14.00069048,7.75e-5,2.12e-4,165.7717422,182.8682791,0,0.790513834,0.205533597,0.003952569,0,1203.594794,0.820512821,0.179487179,0,0,1152.741128,1,0,0,0,690.5015227,1,0,0,0,706.386122,0,1,0,0,512.0372213,0,1,0,0,564.6991842,52.25335714,55.08,76
1752,Plusnet,FTTC,38,10,Plusnet 38 FTTC,B,England,Yorkshire & Humberside,Rural,0.3078,0.462,1.883333333,NA,37.10140777,36.69054338,37.18312185,37.12880383,37.109359,37.15240233,37.14044511,37.10764017,37.0025635,37.00911478,37.11790852,37.13522122,37.12238643,37.07100967,37.12947833,9.182027856,9.003104308,9.209221846,9.146649391,9.09498,9.202393667,0,0,23.82186624,24.21014874,0.345744526,0.59404545500000006,0.185051095,0.182590909,10.91403072,10.88497826,1.38e-5,2.56e-5,183.7646073,394.8092708,0,0.727941176,0.272058824,0,0,1110.155007,0.727272727,0.272727273,0,0,1102.572705,0.996296296,0.003703704,0,0,902.8637232,1,0,0,0,907.3854091,0,1,0,0,849.6215891,0,1,0,0,850.1427045,36.3090361,35.882,38
1760,TalkTalk,FTTC,76,20,TalkTalk 76 FTTC,B,Scotland,Scotland,Urban,0.3621,0.81498,1.480769231,NA,62.97034817,59.90795406,63.3800351,61.31254296,60.24365477,62.17510031,63.35236708,63.30151493,63.06513311,62.67318887,62.13027456,61.24846261,61.3766233,63.10269888,63.34672347,18.5443534,18.42562735,18.5647809,18.53961091,18.52773692,18.55550154,0,0,6.039081372,6.123257143,0.277713355,1.513142857,0.41857329,0.910952381,14.9971026,15.120875,1.98e-5,4.83e-5,166.4338861,278.0275909,0,0.752380952,0.247619048,0,0,1110.701051,0.70212766,0.29787234,0,0,1081.551766,1,0,0,0,552.2520781,1,0,0,0,558.8371429,0,1,0,0,493.2627595,0,1,0,0,594.2857447,42.90982736,45.273,76
1819,Sky,FTTC,76,20,Sky 76 FTTC,B,England,South West,Urban,1.8078,2.31166,0.697581818,NA,71.32189277,68.63816981,71.91142323,69.99391219,69.39724441,70.23521214,71.84981325,71.53120547,71.24457358,70.88081057,70.99948364,69.9172461,70.07057829,71.56794748,71.6630568,18.6254573,18.43298787,18.67506632,18.608365,18.59254062,18.63275877,0,0,12.79275583,12.93671671,0.285341693,0.264272727,0.268275862,0.398409091,9.552378981,9.655169811,3.44e-5,1.68e-4,134.0531275,154.025,0.033333333,0.003164557,0,0.996835443,0,688.1812986,0,0,1,0,682.6327831,1,0,0,0,541.3626688,1,0,0,0,615.1690238,0,1,0,0,527.4377524,0,1,0,0,546.59604650000006,20.34023397,20.461,76
1821,BT,FTTC,38,10,BT 38 FTTC,B,England,North West,Rural,0.1176,0.462,3.911764706,NA,30.09795018,29.52787561,30.15890994,30.071122,29.93914013,30.12382323,30.08097404,30.02954467,30.0498991,30.15514507,30.265634,30.01543277,30.13065186,30.19538207,30.30856563,9.280667605,9.229300387,9.316076129,9.282658667,9.277378581,9.287909935,0,0,20.42517897,20.52234564,0.590746398,0.613666667,0.54356196,0.512766667,15.78556571,15.8062,1.02e-4,0,227.9784694,228.5532759,0.193548387,0.766381766,0.230769231,0.002849003,0,1293.000758,0.733333333,0.25,0.016666667,0,1493.352846,0.997159091,0.002840909,0,0,1243.747306,0.983333333,0.016666667,0,0,1220.468213,0,1,0,0,647.7696781,0,1,0,0,669.5443833,121.4806108,123.517,38
